size_tier,weight_class,service_tier,to_country,low_rate,average_rate,high_rate
Envelope,Heavy,Domestic Economy,US,5.85,28.7,276.01
Envelope,Heavy,Domestic Ground,US,14.35,14.88,15.16
Envelope,Heavy,International Economy,CA,16.13,16.13,16.13
Envelope,Heavy,International Economy,GB,15.68,15.68,15.68
Envelope,Heavy,International Economy,JP,14.88,15.18,15.49
Envelope,Heavy,International Standard,DE,37.96,38.29,38.91
Envelope,Heavy,International Standard,FR,38.19,38.19,38.19
Envelope,Heavy,International Standard,GB,34.17,34.17,34.17
Envelope,Heavy,International Standard,NL,38.19,38.19,38.19
Envelope,Light,Domestic 2 Day,PR,22.1,22.1,22.1
Envelope,Light,Domestic 2 Day,US,15.63,18.78,25.04
Envelope,Light,Domestic Economy,GU,5.8,7.74,9.69
Envelope,Light,Domestic Economy,PR,4.71,6.48,9.69
Envelope,Light,Domestic Economy,US,3.57,5.84,10.07
Envelope,Light,Domestic Economy,VI,5.8,5.8,5.8
Envelope,Light,Domestic Ground,CA,28.58,28.58,28.58
Envelope,Light,Domestic Ground,US,6.54,10.19,27.84
Envelope,Light,Domestic Letter,US,0.69,0.79,1.53
Envelope,Light,Domestic Next Day,US,21.72,31.96,40.87
Envelope,Light,International Economy,AE,11.45,11.45,11.45
Envelope,Light,International Economy,AT,12.37,12.93,14.6
Envelope,Light,International Economy,AU,11.87,13.2,39.16
Envelope,Light,International Economy,AZ,19.0,19.0,19.0
Envelope,Light,International Economy,BE,10.35,10.35,10.35
Envelope,Light,International Economy,BR,14.68,14.68,14.68
Envelope,Light,International Economy,CA,10.26,10.52,24.69
Envelope,Light,International Economy,CH,12.37,13.06,17.21
Envelope,Light,International Economy,CL,14.68,14.68,14.68
Envelope,Light,International Economy,CZ,14.47,14.47,14.47
Envelope,Light,International Economy,DE,10.35,10.8,27.92
Envelope,Light,International Economy,ES,12.37,12.37,12.37
Envelope,Light,International Economy,FI,12.37,12.37,12.37
Envelope,Light,International Economy,FR,10.35,10.86,12.69
Envelope,Light,International Economy,GB,6.26,10.38,19.95
Envelope,Light,International Economy,HU,17.48,22.96,28.44
Envelope,Light,International Economy,IE,10.35,10.35,10.35
Envelope,Light,International Economy,IT,10.35,11.08,13.25
Envelope,Light,International Economy,JP,9.89,11.74,126.44
Envelope,Light,International Economy,KR,8.65,10.82,20.41
Envelope,Light,International Economy,LU,10.35,10.35,10.35
Envelope,Light,International Economy,MX,5.3,8.71,17.15
Envelope,Light,International Economy,NL,10.35,10.81,12.04
